Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2022 Hyundai Grand i10 Nios Sportz Dual Tone,Chennai,"8,926 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,17.4 kmpl,₹ 7.19 Lakh
2014 Honda City VX MT,Chennai,"50,521 kms • Petrol • Manual • 1st Owner",1497 CC,117.6bhp,5,16.9 kmpl,₹ 6.90 Lakh
2019 Honda City VX CVT,Chennai,"12,000 kms • Petrol • Automatic • 1st Owner",1497 CC,117.6bhp,5,20.7 kmpl,₹ 12 Lakh
2022 Mercedes-Benz C-Class C 200,Chennai,"2,500 kms • Petrol • Automatic • 1st Owner",1496 CC,201.15bhp,5,7.81 kmpl,₹ 58 Lakh
2019 Hyundai Grand i10 Nios Sportz,Chennai,"19,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,22.3 kmpl,₹ 5.95 Lakh
2017 Mercedes-Benz S-Class Maybach S500,Chennai,"68,000 kms • Petrol • Automatic • 1st Owner",4663 CC,459bhp,4,14.24 kmpl,₹ 1.15 Crore
2018 Land Rover Range Rover Velar D180 SE,Chennai,"38,000 kms • Diesel • Automatic • 1st Owner",1999 CC,177bhp,5,17.84 kmpl,₹ 72 Lakh
2016 Toyota Fortuner 2.8 2WD MT,Chennai,"1,60,000 kms • Diesel • Manual • 1st Owner",2755 CC,174.5bhp,7,18.2 kmpl,₹ 19.50 Lakh
2020 Audi A4 35 QL TFSI Premium Plus,Chennai,"40,000 kms • Petrol • Automatic • 1st Owner",1395 CC,147.51bhp,5,18 kmpl,₹ 34 Lakh
2019 Honda Jazz VX CVT,Chennai,"5,973 kms • Petrol • Automatic • 1st Owner",1199 CC,88.7bhp,5,18 kmpl,₹ 9.32 Lakh
2021 Hyundai Venue SX Sport iMT,Chennai,"15,166 kms • Petrol • Manual • 1st Owner",998 CC,118.35bhp,5,17.4 kmpl,₹ 10.56 Lakh
2021 Hyundai Venue SX iMT,Chennai,"32,301 kms • Petrol • Manual • 1st Owner",998 CC,118.35bhp,5,20.7 kmpl,₹ 10.51 Lakh
2014 Honda City i VTEC V,Chennai,"97,099 kms • Petrol • Manual • 2nd Owner",1497 CC,117.3bhp,5,21.7 kmpl,₹ 5.34 Lakh
2021 Mercedes-Benz A-Class Limousine A 200,Chennai,"2,844 kms • Petrol • Automatic • 1st Owner",1332 CC,160.92bhp,5,17.03 kmpl,₹ 42.50 Lakh
2022 Hyundai Grand i10 Nios Turbo Sportz,Chennai,"1,114 kms • Petrol • Manual • 1st Owner",998 CC,98.63bhp,5,22.38 kmpl,₹ 8.56 Lakh
2019 Maruti S-Presso VXI Plus AT 2019-2022,Chennai,"14,795 kms • Petrol • Automatic • 1st Owner",998 CC,67.05bhp,5,21 kmpl,₹ 5.05 Lakh
2020 Maruti Vitara Brezza ZXI Plus,Chennai,"40,197 kms • Petrol • Manual • 1st Owner",1462 CC,103.26bhp,5,17 kmpl,₹ 9.16 Lakh
2022 Maruti Swift VXI,Chennai,"9,405 kms • Petrol • Manual • 1st Owner",1197 CC,88.50bhp,5,18.7 kmpl,₹ 7.29 Lakh
2021 Hyundai i20 Sportz,Chennai,"14,176 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,22.69 kmpl,₹ 8.29 Lakh
2017 Hyundai Verna VTVT 1.6 SX,Chennai,"41,080 kms • Petrol • Manual • 1st Owner",1591 CC,121.3bhp,5,18.15 kmpl,₹ 8.27 Lakh
2017 Honda Jazz 1.2 V i VTEC Privilege,Chennai,"33,429 kms • Petrol • Manual • 1st Owner",1199 CC,88.7bhp,5,16.56 kmpl,₹ 6.17 Lakh
2016 BMW 3 Series 320d M Sport,Chennai,"63,000 kms • Diesel • Automatic • 2nd Owner",1995 CC,190bhp,5,25.8 kmpl,₹ 25.90 Lakh
2020 Hyundai Venue SX Plus Turbo DCT,Chennai,"15,000 kms • Petrol • Automatic • 1st Owner",998 CC,118.35bhp,5,17 kmpl,₹ 11.25 Lakh
2021 MG Hector Plus Sharp CVT,Chennai,"30,000 kms • Petrol • Automatic • 1st Owner",1451 CC,141bhp,6,17.8 kmpl,₹ 17.35 Lakh
2014 Honda Amaze VX i-DTEC,Chennai,"1,05,781 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,22.27 kmpl,₹ 4.50 Lakh
2017 Tata Nexon 1.2 Revotron XT,Chennai,"29,000 kms • Petrol • Manual • 1st Owner",1198 CC,108.5bhp,5,18.6 kmpl,₹ 7.25 Lakh
2018 Honda Amaze VX i-VTEC,Chennai,"80,000 kms • Petrol • Manual • 1st Owner",1198 CC,86.7bhp,5,18.9 kmpl,₹ 6.11 Lakh
2018 Volkswagen Vento 1.5 TDI Trendline,Chennai,"59,000 kms • Diesel • Manual • 1st Owner",1498 CC,108.6bhp,5,25.5 kmpl,₹ 9 Lakh
2020 Mercedes-Benz GLS 400d 4MATIC,Chennai,"25,000 kms • Diesel • Automatic • 1st Owner",2925 CC,325.86bhp3600-4200rpm,7,22.41 kmpl,₹ 1.25 Crore
2019 Hyundai i20 Sportz Plus BSIV,Chennai,"25,454 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,15.2 kmpl,₹ 7.46 Lakh
2019 Hyundai Grand i10 1.2 Kappa Asta,Chennai,"37,646 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,22.74 kmpl,₹ 6.71 Lakh
2017 Honda WR-V i-DTEC VX,Chennai,"50,026 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,17 kmpl,₹ 8.67 Lakh
2020 Maruti Swift Dzire VXI,Chennai,"8,170 kms • Petrol • Manual • 1st Owner",1197 CC,88.50bhp,5,20.51 kmpl,₹ 7.40 Lakh
2022 Mahindra Thar LX 4-Str Hard Top,Chennai,"6,560 kms • Petrol • Manual • 1st Owner",1997 CC,150bhp,4,20.7 kmpl,₹ 15.10 Lakh
2016 Maruti Alto 800 VXI,Chennai,"50,194 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,21.21 kmpl,₹ 3.17 Lakh
2019 Tata Harrier XZ BSIV,Chennai,"22,641 kms • Diesel • Manual • 2nd Owner",1956 CC,138.1bhp,5,19.03 kmpl,₹ 16.06 Lakh
