Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2019 Maruti Vitara Brezza VDi,Jaipur,"44,600 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,24.3 kmpl,₹ 8.90 Lakh
2021 Toyota Fortuner Legender 4x2 AT,Jaipur,"25,000 kms • Diesel • Automatic • 1st Owner",2755 CC,201.15bhp,7,21.21 kmpl,₹ 46 Lakh
2018 Maruti Swift ZXI,Jaipur,"47,029 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,18.9 kmpl,₹ 6.77 Lakh
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jaipur,"36,824 kms • Petrol • Manual • 2nd Owner",1197 CC,81.86bhp,5,26.2 kmpl,₹ 5.21 Lakh
2021 Hyundai Grand i10 Nios Sportz CRDi,Jaipur,"20,487 kms • Diesel • Manual • 1st Owner",1186 CC,73.97bhp,5,12.07 kmpl,₹ 7.83 Lakh
2014 Audi Q7 3.0 TDI Quattro Premium Plus,Jaipur,"69,000 kms • Diesel • Automatic • 1st Owner",2967 CC,241.4bhp,7,23.1 kmpl,₹ 19.50 Lakh
2016 Maruti Celerio ZXI AT Optional,Jaipur,"70,507 kms • Petrol • Automatic • 1st Owner",998 CC,67.04bhp,5,21.01 kmpl,₹ 4.35 Lakh View Benefits & Breakup
2019 Maruti Baleno Delta,Jaipur,"20,813 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,21.7 kmpl,₹ 7.11 Lakh
2020 Maruti S-Presso VXI 2019-2022,Jaipur,"32,408 kms • Petrol • Manual • 2nd Owner",998 CC,65.71bhp,5,15.97 kmpl,₹ 4.37 Lakh
2018 BMW X5 xDrive 30d Design Pure Experience 7 Seater,Jaipur,"69,000 kms • Diesel • Automatic • 2nd Owner",2993 CC,258bhp,7,21.21 kmpl,₹ 43.80 Lakh
2018 Maruti Swift VXI,Jaipur,"44,589 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,22 kmpl,₹ 6.13 Lakh
2020 Maruti Swift VXI 2018,Jaipur,"54,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,18.6 kmpl,₹ 6.50 Lakh
2018 Hyundai i20 1.2 Asta Option,Jaipur,"60,000 kms • Petrol • Manual • 2nd Owner",1197 CC,81.83bhp,5,12 kmpl,₹ 6.50 Lakh
2022 Toyota Innova Crysta 2.4 GX 7 STR,Jaipur,"22,000 kms • Diesel • Manual • 1st Owner",2393 CC,148bhp,7,13 kmpl,₹ 21.50 Lakh
2013 Toyota Fortuner 4x2 Manual,Jaipur,"1,30,995 kms • Diesel • Manual • 2nd Owner",2982 CC,168.5bhp,7,19.67 kmpl,₹ 14 Lakh
2015 Hyundai Creta 1.6 CRDi SX,Jaipur,"1,16,580 kms • Diesel • Manual • 2nd Owner",1582 CC,126.2bhp,5,25.8 kmpl,₹ 8.25 Lakh
2017 Honda Amaze E Option i-DTEC,Jaipur,"64,000 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,15.8 kmpl,₹ 5.25 Lakh
2020 Land Rover Range Rover Velar P250 R-Dynamic HSE,Jaipur,"29,000 kms • Petrol • Automatic • 1st Owner",1997 CC,247bhp,5,17.52 kmpl,₹ 85 Lakh
2022 Hyundai Venue S Plus,Jaipur,"10,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,20.6 kmpl,₹ 8.20 Lakh
2013 Skoda Octavia Ambition 2.0 TDI MT,Jaipur,"90,120 kms • Diesel • Manual • 2nd Owner",1968 CC,141bhp,5,12.62 kmpl,₹ 5.85 Lakh
2019 Ford Endeavour 2.2 Titanium AT 4X2 Sunroof,Jaipur,"19,100 kms • Diesel • Automatic • 1st Owner",2198 CC,158bhp,7,21.21 kmpl,₹ 33.50 Lakh
2021 Toyota Fortuner Legender 4x2 AT,Jaipur,"25,000 kms • Diesel • Automatic • 1st Owner",2755 CC,201.15bhp,7,18.9 kmpl,₹ 46 Lakh
2018 Maruti Swift ZXI,Jaipur,"47,029 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,26.2 kmpl,₹ 6.77 Lakh
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jaipur,"36,824 kms • Petrol • Manual • 2nd Owner",1197 CC,81.86bhp,5,12.07 kmpl,₹ 5.21 Lakh
2021 Hyundai Grand i10 Nios Sportz CRDi,Jaipur,"20,487 kms • Diesel • Manual • 1st Owner",1186 CC,73.97bhp,5,23.1 kmpl,₹ 7.83 Lakh
2014 Audi Q7 3.0 TDI Quattro Premium Plus,Jaipur,"69,000 kms • Diesel • Automatic • 1st Owner",2967 CC,241.4bhp,7,21.01 kmpl,₹ 19.50 Lakh
2016 Maruti Celerio ZXI AT Optional,Jaipur,"70,507 kms • Petrol • Automatic • 1st Owner",998 CC,67.04bhp,5,21.7 kmpl,₹ 4.35 Lakh View Benefits & Breakup
2019 Maruti Baleno Delta,Jaipur,"20,813 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,15.97 kmpl,₹ 7.11 Lakh
2020 Maruti S-Presso VXI 2019-2022,Jaipur,"32,408 kms • Petrol • Manual • 2nd Owner",998 CC,65.71bhp,5,21.21 kmpl,₹ 4.37 Lakh
2018 BMW X5 xDrive 30d Design Pure Experience 7 Seater,Jaipur,"69,000 kms • Diesel • Automatic • 2nd Owner",2993 CC,258bhp,7,22 kmpl,₹ 43.80 Lakh
2018 Maruti Swift VXI,Jaipur,"44,589 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,18.6 kmpl,₹ 6.13 Lakh
2020 Maruti Swift VXI 2018,Jaipur,"54,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,12 kmpl,₹ 6.50 Lakh
2018 Hyundai i20 1.2 Asta Option,Jaipur,"60,000 kms • Petrol • Manual • 2nd Owner",1197 CC,81.83bhp,5,13 kmpl,₹ 6.50 Lakh
2022 Toyota Innova Crysta 2.4 GX 7 STR,Jaipur,"22,000 kms • Diesel • Manual • 1st Owner",2393 CC,148bhp,7,19.67 kmpl,₹ 21.50 Lakh
2013 Toyota Fortuner 4x2 Manual,Jaipur,"1,30,995 kms • Diesel • Manual • 2nd Owner",2982 CC,168.5bhp,7,25.8 kmpl,₹ 14 Lakh
2015 Hyundai Creta 1.6 CRDi SX,Jaipur,"1,16,580 kms • Diesel • Manual • 2nd Owner",1582 CC,126.2bhp,5,15.8 kmpl,₹ 8.25 Lakh
2017 Honda Amaze E Option i-DTEC,Jaipur,"64,000 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,17.52 kmpl,₹ 5.25 Lakh
2020 Land Rover Range Rover Velar P250 R-Dynamic HSE,Jaipur,"29,000 kms • Petrol • Automatic • 1st Owner",1997 CC,247bhp,5,20.6 kmpl,₹ 85 Lakh
2022 Hyundai Venue S Plus,Jaipur,"10,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,12.62 kmpl,₹ 8.20 Lakh
2013 Skoda Octavia Ambition 2.0 TDI MT,Jaipur,"90,120 kms • Diesel • Manual • 2nd Owner",1968 CC,141bhp,5,16.65 kmpl,₹ 5.85 Lakh
2019 Ford Endeavour 2.2 Titanium AT 4X2 Sunroof,Jaipur,"19,100 kms • Diesel • Automatic • 1st Owner",2198 CC,158bhp,7,21.4 kmpl,₹ 33.50 Lakh
2021 MG Hector Plus Sharp Diesel MT,Jaipur,"19,000 kms • Diesel • Manual • 1st Owner",1956 CC,167.67bhp,6,25.17 kmpl,₹ 21 Lakh
2018 Maruti Baleno 1.2 CVT Alpha,Jaipur,"35,119 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,17 kmpl,₹ 7.69 Lakh
2019 Renault KWID RXL BSIV,Jaipur,"31,809 kms • Petrol • Manual • 1st Owner",799 CC,53.3bhp,5,15.17 kmpl,₹ 3.93 Lakh
2019 Hyundai Verna VTVT 1.6 AT SX Option,Jaipur,"47,920 kms • Petrol • Automatic • 1st Owner",1591 CC,121.3bhp,5,32.73 kmpl,₹ 10.67 Lakh
2014 Audi Q3 35 TDI Quattro Premium Plus,Jaipur,"75,000 kms • Diesel • Automatic • 1st Owner",1968 CC,181bhp,5,23.01 kmpl,₹ 13 Lakh
2022 Maruti S-Presso VXI CNG,Jaipur,"18,467 kms • Cng • Manual • 1st Owner",998 CC,55.92bhp,4,21.4 kmpl,₹ 6.07 Lakh
2018 Renault KWID 1.0 RXT,Jaipur,"45,377 kms • Petrol • Manual • 1st Owner",999 CC,67bhp,5,12.4 kmpl,₹ 4.10 Lakh
2017 Maruti Baleno 1.2 CVT Delta,Jaipur,"63,607 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,21.74 kmpl,₹ 6.69 Lakh
2021 MG Gloster Sharp 7-Str,Jaipur,"80,000 kms • Diesel • Automatic • 1st Owner",1996 CC,215.01bhp,7,17 kmpl,₹ 34.50 Lakh
2020 Renault KWID Climber 1.0 MT Opt,Jaipur,"3,990 kms • Petrol • Manual • 1st Owner",999 CC,67bhp,5,20.88 km/kg,₹ 5.25 Lakh
2011 Honda City 1.5 S MT,Jaipur,"88,000 kms • Petrol • Manual • 2nd Owner",1497 CC,"118PS at 6,600 rpm",5,10.75 kmpl,₹ 3.70 Lakh
2021 Maruti Eeco CNG 5 Seater AC,Jaipur,"40,000 kms • Cng • Manual • 4th Owner",1196 CC,61.68bhp,5,23.4 kmpl,₹ 5.50 Lakh
2016 Toyota Innova Crysta 2.7 ZX AT,Jaipur,"21,000 kms • Petrol • Automatic • 1st Owner",2694 CC,163.7bhp,7,19.7 kmpl,₹ 16 Lakh
2014 Maruti Swift Dzire VDI,Jaipur,"92,000 kms • Diesel • Manual • 2nd Owner",1248 CC,74bhp,5,21.1 kmpl,₹ 4.25 Lakh
2010 Maruti Alto LXi BSIII,Jaipur,"25,500 kms • Petrol • Manual • 1st Owner",796 CC,46.3bhp,5,12.6 kmpl,₹ 1.48 Lakh
2016 Hyundai EON Magna Plus,Jaipur,"43,564 kms • Petrol • Manual • 1st Owner",814 CC,55.2bhp,5,20 kmpl,₹ 3.50 Lakh
2020 Mercedes-Benz C-Class Progressive C 220d,Jaipur,"75,000 kms • Diesel • Automatic • 1st Owner",1950 CC,194bhp,5,25.17 kmpl,₹ 38 Lakh
2011 Ford Figo Diesel ZXI,Jaipur,"1,20,000 kms • Diesel • Manual • 1st Owner",1399 CC,68bhp,5,25.1 kmpl,₹ 1.80 Lakh
2018 Renault KWID RXT Optional,Jaipur,"54,500 kms • Petrol • Manual • 1st Owner",799 CC,53.3bhp,5,16.65 kmpl,₹ 3.25 Lakh
2019 Maruti SX4 S Cross Zeta DDiS 200 SH,Jaipur,"75,000 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,21.4 kmpl,₹ 7.99 Lakh
2021 MG Hector Plus Sharp Diesel MT,Jaipur,"19,000 kms • Diesel • Manual • 1st Owner",1956 CC,167.67bhp,6,25.17 kmpl,₹ 21 Lakh
2018 Maruti Baleno 1.2 CVT Alpha,Jaipur,"35,119 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,17 kmpl,₹ 7.69 Lakh
2019 Renault KWID RXL BSIV,Jaipur,"31,809 kms • Petrol • Manual • 1st Owner",799 CC,53.3bhp,5,15.17 kmpl,₹ 3.93 Lakh
2019 Hyundai Verna VTVT 1.6 AT SX Option,Jaipur,"47,920 kms • Petrol • Automatic • 1st Owner",1591 CC,121.3bhp,5,32.73 kmpl,₹ 10.67 Lakh
2014 Audi Q3 35 TDI Quattro Premium Plus,Jaipur,"75,000 kms • Diesel • Automatic • 1st Owner",1968 CC,181bhp,5,23.01 kmpl,₹ 13 Lakh
2022 Maruti S-Presso VXI CNG,Jaipur,"18,467 kms • Cng • Manual • 1st Owner",998 CC,55.92bhp,4,21.4 kmpl,₹ 6.07 Lakh
2018 Renault KWID 1.0 RXT,Jaipur,"45,377 kms • Petrol • Manual • 1st Owner",999 CC,67bhp,5,12.4 kmpl,₹ 4.10 Lakh
2017 Maruti Baleno 1.2 CVT Delta,Jaipur,"63,607 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,21.74 kmpl,₹ 6.69 Lakh
2021 MG Gloster Sharp 7-Str,Jaipur,"80,000 kms • Diesel • Automatic • 1st Owner",1996 CC,215.01bhp,7,17 kmpl,₹ 34.50 Lakh
2020 Renault KWID Climber 1.0 MT Opt,Jaipur,"3,990 kms • Petrol • Manual • 1st Owner",999 CC,67bhp,5,20.88 km/kg,₹ 5.25 Lakh
2011 Honda City 1.5 S MT,Jaipur,"88,000 kms • Petrol • Manual • 2nd Owner",1497 CC,"118PS at 6,600 rpm",5,10.75 kmpl,₹ 3.70 Lakh
2021 Maruti Eeco CNG 5 Seater AC,Jaipur,"40,000 kms • Cng • Manual • 4th Owner",1196 CC,61.68bhp,5,23.4 kmpl,₹ 5.50 Lakh
2016 Toyota Innova Crysta 2.7 ZX AT,Jaipur,"21,000 kms • Petrol • Automatic • 1st Owner",2694 CC,163.7bhp,7,19.7 kmpl,₹ 16 Lakh
2014 Maruti Swift Dzire VDI,Jaipur,"92,000 kms • Diesel • Manual • 2nd Owner",1248 CC,74bhp,5,12.6 kmpl,₹ 4.25 Lakh
2010 Maruti Alto LXi BSIII,Jaipur,"25,500 kms • Petrol • Manual • 1st Owner",796 CC,46.3bhp,5,20 kmpl,₹ 1.48 Lakh
2020 Mercedes-Benz C-Class Progressive C 220d,Jaipur,"75,000 kms • Diesel • Automatic • 1st Owner",1950 CC,194bhp,5,25.17 kmpl,₹ 38 Lakh
2011 Ford Figo Diesel ZXI,Jaipur,"1,20,000 kms • Diesel • Manual • 1st Owner",1399 CC,68bhp,5,25.1 kmpl,₹ 1.80 Lakh
2018 Renault KWID RXT Optional,Jaipur,"54,500 kms • Petrol • Manual • 1st Owner",799 CC,53.3bhp,5,10.75 kmpl,₹ 3.25 Lakh
2019 Maruti SX4 S Cross Zeta DDiS 200 SH,Jaipur,"75,000 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,22.7 kmpl,₹ 7.99 Lakh
2017 Toyota Innova Crysta 2.7 ZX AT BSIV,Jaipur,"50,000 kms • Petrol • Automatic • 1st Owner",2694 CC,163.7bhp,7,22.05 kmpl,₹ 18 Lakh
2020 Datsun RediGO T Option,Jaipur,"17,580 kms • Petrol • Manual • 1st Owner",799 CC,53.64bhp,5,22.41 kmpl,₹ 4.21 Lakh
2020 Maruti Alto 800 VXI,Jaipur,"24,308 kms • Petrol • Manual • 1st Owner",796 CC,47.33bhp,5,11.36 kmpl,₹ 4.11 Lakh
2020 Maruti Swift Dzire VXI,Jaipur,"45,038 kms • Petrol • Manual • 1st Owner",1197 CC,88.50bhp,5,17 kmpl,₹ 7.25 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT BSIV,Jaipur,"66,000 kms • Diesel • Automatic • 1st Owner",2755 CC,171.5bhp,7,23.1 kmpl,₹ 20.50 Lakh
2019 Hyundai Verna VTVT 1.6 AT SX Plus,Jaipur,"15,419 kms • Petrol • Automatic • 2nd Owner",1591 CC,121.3bhp,5,21.01 kmpl,₹ 10.21 Lakh
2018 Maruti Celerio ZXI MT BSIV,Jaipur,"56,096 kms • Petrol • Manual • 1st Owner",998 CC,67.04bhp,5,15.04 kmpl,₹ 4.54 Lakh
2021 Maruti Baleno Delta,Jaipur,"43,542 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,19.5 kmpl,₹ 6.93 Lakh
2016 Mercedes-Benz CLA 200 CGI Sport,Jaipur,"42,000 kms • Petrol • Automatic • 3rd Owner",1991 CC,183bhp,5,18.9 kmpl,₹ 22 Lakh
2019 Honda Amaze S Petrol BSIV,Jaipur,"80,112 kms • Petrol • Manual • 1st Owner",1199 CC,88.76bhp,5,18.6 kmpl,₹ 6.41 Lakh
2007 Maruti Wagon R VXI BS IV,Jaipur,"90,000 kms • Petrol • Manual • 3rd Owner",998 CC,67.1bhp,5,12.83 kmpl,₹ 1.35 Lakh
2014 Hyundai i20 Asta 1.2,Jaipur,"74,000 kms • Petrol • Manual • 2nd Owner",1197 CC,81.83bhp,5,20 kmpl,₹ 4.90 Lakh
2016 Land Rover Discovery Sport TD4 SE 7S,Jaipur,"67,000 kms • Diesel • Automatic • 1st Owner",2179 CC,147.5bhp,7,18.9 kmpl,₹ 24.35 Lakh
2021 Hyundai i20 Sportz Turbo iMT,Jaipur,"15,000 kms • Petrol • Manual • 1st Owner",998 CC,118.36bhp,5,12.55 kmpl,₹ 8 Lakh
2005 Maruti Wagon R LXI BSII,Jaipur,"1,20,000 kms • Petrol • Manual • 2nd Owner",998 CC,67.1bhp,5,14 kmpl,₹ 1.25 Lakh
2015 Toyota Fortuner 2.5 4x2 AT TRD Sportivo,Jaipur,"1,30,000 kms • Diesel • Automatic • 1st Owner",2494 CC,142bhp,7,21.21 kmpl,₹ 16.50 Lakh
2006 Maruti Wagon R LXI BSIII,Jaipur,"1,65,000 kms • Petrol • Manual • 2nd Owner",1061 CC,64,5,28.4 kmpl,₹ 1.35 Lakh
2018 Maruti Swift VXI,Jaipur,"58,000 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,10.75 kmpl,₹ 5.90 Lakh
2017 Maruti Swift ZDI,Jaipur,"94,000 kms • Diesel • Manual • 2nd Owner",1248 CC,74bhp,5,22.7 kmpl,₹ 6 Lakh
2017 Toyota Innova Crysta 2.7 ZX AT BSIV,Jaipur,"50,000 kms • Petrol • Automatic • 1st Owner",2694 CC,163.7bhp,7,22.05 kmpl,₹ 18 Lakh
2020 Datsun RediGO T Option,Jaipur,"17,580 kms • Petrol • Manual • 1st Owner",799 CC,53.64bhp,5,22.41 kmpl,₹ 4.21 Lakh
2020 Maruti Alto 800 VXI,Jaipur,"24,308 kms • Petrol • Manual • 1st Owner",796 CC,47.33bhp,5,11.36 kmpl,₹ 4.11 Lakh
2020 Maruti Swift Dzire VXI,Jaipur,"45,038 kms • Petrol • Manual • 1st Owner",1197 CC,88.50bhp,5,17 kmpl,₹ 7.25 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT BSIV,Jaipur,"66,000 kms • Diesel • Automatic • 1st Owner",2755 CC,171.5bhp,7,23.1 kmpl,₹ 20.50 Lakh
2019 Hyundai Verna VTVT 1.6 AT SX Plus,Jaipur,"15,419 kms • Petrol • Automatic • 2nd Owner",1591 CC,121.3bhp,5,21.01 kmpl,₹ 10.21 Lakh
2018 Maruti Celerio ZXI MT BSIV,Jaipur,"56,096 kms • Petrol • Manual • 1st Owner",998 CC,67.04bhp,5,15.04 kmpl,₹ 4.54 Lakh
2021 Maruti Baleno Delta,Jaipur,"43,542 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,19.5 kmpl,₹ 6.93 Lakh
2016 Mercedes-Benz CLA 200 CGI Sport,Jaipur,"42,000 kms • Petrol • Automatic • 3rd Owner",1991 CC,183bhp,5,18.9 kmpl,₹ 22 Lakh
2019 Honda Amaze S Petrol BSIV,Jaipur,"80,112 kms • Petrol • Manual • 1st Owner",1199 CC,88.76bhp,5,18.6 kmpl,₹ 6.41 Lakh
2007 Maruti Wagon R VXI BS IV,Jaipur,"90,000 kms • Petrol • Manual • 3rd Owner",998 CC,67.1bhp,5,12.83 kmpl,₹ 1.35 Lakh
2014 Hyundai i20 Asta 1.2,Jaipur,"74,000 kms • Petrol • Manual • 2nd Owner",1197 CC,81.83bhp,5,23.4 kmpl,₹ 4.90 Lakh
2016 Land Rover Discovery Sport TD4 SE 7S,Jaipur,"67,000 kms • Diesel • Automatic • 1st Owner",2179 CC,147.5bhp,7,20 kmpl,₹ 24.35 Lakh
